<p style="text-align:justify;">Đâu là định nghĩa đúng của địa chỉ IP?</p>	Là địa chỉ của code.	Là địa chỉ dạng số được dùng để định vị và tìm kiếm các trang web và file của một số website.	Là địa chỉ của layer.	Là địa chỉ của bảng.	Là địa chỉ dạng số được dùng để định vị và tìm kiếm các trang web và file của một số website.	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Là địa chỉ dạng số được dùng để định vị và tìm kiếm các trang web và file của một số website.</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: IP Là địa chỉ dạng số được dùng để định vị và tìm kiếm các trang web và file của một số website.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 1: Xây dựng giao diện web với HTML và CSS, Mục 1.1. Giới thiệu HTML.</p>
<p style="text-align:justify;">Một style sheet là một tập hợp của?</p>	CSS rule	Layer	HTML	code	CSS rule	<p><span style="font-weight: bold;">Đáp án đúng là</span>: CSS rule</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: style sheet là tập hợp của các quy tắc CSS.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 1: Xây dựng giao diện web với HTML và CSS, Mục 1.2.1. Vai trò của CSS.</p>
<p style="text-align:justify;">Inline style là cách sử dụng css như thế nào?</p>	Không cần khai báo CSS.	Khai báo css ngay trong thẻ HTML (nội tuyến).	Khai báo css trong trong file.	Khai báo css trong một file riêng.	Khai báo css ngay trong thẻ HTML (nội tuyến).	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Khai báo css ngay trong thẻ HTML (nội tuyến).</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Khai báo css ngay trong thẻ HTML là Inline style.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 1: Xây dựng giao diện web với HTML và CSS, Mục 1.2.1. Vai trò của CSS.</p>
<p style="text-align:justify;">Hãy chỉ ra đáp án đúng?</p>	CSS là ngôn ngữ đơn giản, hoạt động kết hợp với HTML để tạo ra nội dung trên các trang web.	CSS là ngôn ngữ đơn giản, hoạt động kết hợp với HTML để tạo ra hành động trên các trang web.	CSS là ngôn ngữ đơn giản, hoạt động kết hợp với HTML để tạo định dạng cho nội dung trên các trang web.	CSS là ngôn ngữ đơn giản, hoạt động kết hợp với HTML để tạo định dạng và hành động trên các trang web.	CSS là ngôn ngữ đơn giản, hoạt động kết hợp với HTML để tạo định dạng cho nội dung trên các trang web.	<p><span style="font-weight: bold;">Đáp án đúng là</span>: CSS là ngôn ngữ đơn giản, hoạt động kết hợp với HTML để tạo định dạng cho nội dung trên các trang web.</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: CSS dùng để tạo định dạng cho trang web.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 1: Xây dựng giao diện web với HTML và CSS, Mục 1.2.1. Vai trò của CSS.</p>
<p style="text-align:justify;">CSS rule có thể ảnh hưởng lên các thuộc tính nào sau đây?</p>	Màu sắc	Kiểu chữ, màu sắc và định vị.	Kiểu chữ	Định vị	Kiểu chữ, màu sắc và định vị.	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Kiểu chữ, màu sắc và định vị.</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: CSS rule ảnh hưởng đến cả màu sắc, kiểu chữ và định vị các thành phần trang web.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 1: Xây dựng giao diện web với HTML và CSS, Mục 1.2.1. Vai trò của CSS.</p>
<p style="text-align:justify;">Có thể khởi tạo  một file .css (dạng external stylesheet) thông qua?</p>	Sử dụng css trong thẻ.	Viết trên file html cũ.	Tạo 1 file css mới.	Sử dụng css ở trong thẻ title.	Tạo 1 file css mới.	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Tạo 1 file css mới.</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Sử dụng external stylesheet tức là cần tạo file css mới.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 1: Xây dựng giao diện web với HTML và CSS, Mục 1.2.1. Vai trò của CSS.</p>
<p style="text-align:justify;">Điều gì sẽ xảy ra khi người dùng chọn cả màu nền và hình nền cho một trang web?</p>	Màu nền sẽ xuất hiện khi ảnh đang tải xuống.	Chỉ hiển thị màu nền.	Chỉ hiển thị ảnh nền.	Không xảy ra hiện tượng gì.	Màu nền sẽ xuất hiện khi ảnh đang tải xuống.	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Màu nền sẽ xuất hiện khi ảnh đang tải xuống.</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: Khi người dùng chọn cả màu nền và hình nền cho một trang web, Màu nền sẽ xuất hiện khi ảnh đang tải xuống.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 1: Xây dựng giao diện web với HTML và CSS, Mục 1.1. Giới thiệu HTML.</p>
<p style="text-align:justify;">Các CSS rule có thể được áp dụng cho?</p>	Flash	Photoshop	Áp dụng một cách chọn lọc đối với bất cứ thành phần nào trên trang web.	Illustrator	Áp dụng một cách chọn lọc đối với bất cứ thành phần nào trên trang web.	<p><span style="font-weight: bold;">Đáp án đúng là</span>: Áp dụng một cách chọn lọc đối với bất cứ thành phần nào trên trang web.</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: CSS có thể áp dụng cho tất cả các thành phần trên trang web.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 1: Xây dựng giao diện web với HTML và CSS, Mục 1.2.1. Vai trò của CSS.</p>
<p style="text-align:justify;">Thẻ &lt;div&gt; là viết tắt của từ nào?</p>	divide	divite	divition	division	division	<p><span style="font-weight: bold;">Đáp án đúng là</span>: division</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: div là viết tắt của division.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 1: Xây dựng giao diện web với HTML và CSS, Mục 1.2.1. Vai trò của CSS.</p>
<p style="text-align:justify;">Hãy chỉ ra đáp án đúng?</p>	CSS chỉ có khả năng áp dụng style nhất quán lên duy nhất 1 thành phần của trang web trong số website.	CSS chỉ có khả năng áp dụng style nhất quán lên không quá 2 thành phần của trang web trong số website.	CSS không có khả năng áp dụng style nhất quán lên các thành phần trên một hoặc toàn bộ các trang web trong số website.	CSS có khả năng áp dụng style nhất quán lên các thành phần trên một hoặc toàn bộ các trang web trong số website.	CSS có khả năng áp dụng style nhất quán lên các thành phần trên một hoặc toàn bộ các trang web trong số website.	<p><span style="font-weight: bold;">Đáp án đúng là</span>: CSS có khả năng áp dụng style nhất quán lên các thành phần trên một hoặc toàn bộ các trang web trong số website.</p><p style="text-align:justify;"><span style="font-weight: bold;">Vì</span>: CSS có khả năng áp dụng style nhất quán lên các thành phần trên một hoặc toàn bộ các trang web trong số website.</p><p style="text-align:justify;"><span style="font-weight: bold;">Tham khảo</span>: Bài 1: Xây dựng giao diện web với HTML và CSS, Mục 1.2.1. Vai trò của CSS.</p>
